content,title
"╭─────────────────────────────────────╮,│,本板為PTT八卦板，文章、推文及板務處理原則均依循中華民國法律、站規規範發,│,│,文者，不得因不知相關板規而免卻責任。,│,╰─────────────────────────────────────╯",[公告] 八卦板板規(2019.06.11)
"中央,烏克蘭親俄議員買下新聞頻道,記者紛紛求去,一名與俄羅斯關係密切的烏克蘭國會議員，近期買下烏克蘭一個全國新聞頻道，引發一波,記者辭職潮。記者們憂心，新老闆到來意味著莫斯科(Moscow)將影響報導內容。,法新社報導，親莫斯科政黨「反對派平台」(Opposition,Platform)的議員柯札克(Taras,Kozak)先前已擁有兩個全國電視台，本週又接手ZIK頻道。,柯札克是政治人物梅維楚克(Viktor,Medvedchuk)的親密盟友。在烏克蘭，梅維楚克是個,爭議人物，因為他與俄國總統蒲亭(Vladimir,Putin)關係密切，而此刻基輔(Kiev)政府正,在打一場有俄國支持的分離主義戰爭。,記者涅澤斯基(Roman,Nedzelskiy)是連同執行長從ZIK頻道辭職的5名記者之一。他說，梅,維楚克現在實質控制了ZIK頻道。,涅澤斯基14日晚間透過臉書(Facebook)表示，「明天是我最後一次播出每周節目『細節』,(Details)，之後我將開始找工作。」,涅澤斯基的同事吉比阿尼(Vakhtang,Kipiani)也在宣布辭職時寫道：「梅維楚克是我國的,敵人，是一個謀殺過去和未來的兇手。」,烏克蘭國會議員納耶姆(Mustafa,Nayyem)則在社群媒體上表示，ZIK頻道被接管，將對新,總統澤倫斯基(Volodymyr,Zelensky)構成挑戰。納耶姆寫道：「很難講哪一個比較糟糕，,是俄國坦克壓境，還是廣播幾乎被一個蒲亭的親戚把持。」,梅維楚克稱蒲亭是他一個女兒的教父。,烏克蘭東部因為俄國支持的分離主義者而陷入衝突，至今已達5年，奪走超過1萬3千人性,命。",[新聞] 烏克蘭親俄議員買下新聞頻道
"各位肥宅晚安,阿肥我小時候都躲在一旁看暗戀的女同學吸,上課鐘聲一響大家都跑回教室,阿肥我就跑去收集喜歡的女同學吸過丟掉的,晚上回家拿出來吸啊吸的,上面都是女同學的口水，好甜好可口,是不是每個八卦肥宅小時候都吸過這個啊？",[問卦] 八卦肥宅小時候都吸過這個嗎？
"是這樣的啦,現代的人很多人為了頭髮的造型都會去燙頭髮,那麼第一個發現燙頭髮的人是多無聊在那邊玩自己的頭髮,不怕禿頭ㄇ,有八卦嗎,-----,Sent,from,JPTT,on,my,Asus,ASUS_X00QD.,--",[問卦] 第一個燙頭髮的人在想什麼
"安安,本寶寶我,想當猶土撥,需要哪些才能呢,目前我都才能只有可愛而已,這樣夠嗎,^_^,大概想做各種挑戰系列的吧0.0,--",[問卦] 想當youtuber需要什麼條件？
"安安如題我是肥肥,肥肥der室友,昨天一大早就出門了,後來晚上回家,說了好累,就躺在床上睡死,不過他沒有洗澡澡,大家覺得肥肥現在要叫他起床洗澡澡嗎,有掛嗎,嘻嘻,巨蟹座被叫起床是不是都會一臉雞掰看人？,--",[問卦] 室友沒洗澡就睡覺
"小偷闖空門失敗,遭2比特犬活逮…腿被啃爛見骨,國際中心／綜合報導,比特犬總是給人非常兇惡的印象，但他們也能是盡忠職守的看門犬！阿根廷就有一名小偷企圖進入一戶人家行竊，沒想到卻被屋主所養的兩隻比特犬逮個正著，東西沒偷到就算了，還被比特犬瘋狂啃咬，痛得他大聲慘叫，屋主聞聲立刻報警，附近鄰居也立刻打電話叫救護車。這名竊賊除了全身衣服遭咬爛，多處受傷以外，左小腿更被啃到血肉模糊、骨頭外露。,竊賊的左腿被咬到見骨。（圖／翻攝自Aire,de,Santa,Fe）",[新聞] 小偷闖空門失敗遭2比特犬活逮 腿被啃爛
"理性討論，我只是措辭比較接地氣,就4啊,有些棉花糖女孩兒,臉他媽超臭,好像每個男人都意淫她的大奶一樣,又不是每個男人都喜歡女人,搞什麼啊，是在跩個屁？,這樣怎麼會有男人喜歡？,對不對？,我雖然不是肥宅，偏瘦,但還是會顧及社會觀感,不要臉太臭，不然讓人嘴,現在棉花糖女孩是怎樣,放棄自我了嗎？,--",[問卦] 為什麼有些棉花糖女孩他媽那麼屌？
"戰績1/16/10阿卡莉,a.k.a八卦全民情人,Bignana,又來了,六月份到了,天氣越來越熱,但也不是很穩定,大家出門要記得帶雨具哦^Q^,這篇可以讓大家在推文取暖，突不破的同溫層，但要記得禮貌喔!!,--,星雪淒天銀河垂，狂豔夜徊鑄楚辭，,蕭瑟悲聲秋風起，殺憶寒蟬未鳴時。,--",[公告] 六月份置底閒聊文
"不好意思打擾了,,我們家外公在6/14早上出門後到現在還沒回家,,,目前已於警局報案,,,監視器只有在10:29拍到外公前往台北市榮星花園,接下來就完全沒有頭緒,,,想懇請曾看到外公身影的好心人幫幫忙,身高,:,172,體型,:,中等,心智狀況,:,失智症,失蹤穿著,:,卡其色夾克,,,淺灰色西裝褲,,,黑色休閒鞋,*,身上沒有帶手機和錢包,照片如下:",[尋人] 6/14 外公失蹤
"近年來本板已然成為特定多方勢力角逐的地帶，,為捍衛本板主權，讓更多像跳板仔，或者公關公司現形，,即日起開啟推文顯示IP。,全民情人,Bignana,p.s,系統上並沒有顯示ip國家的功能。,--,難定紛紛甲子年，千魔蕩蕩白陽天；,蒼天旨意著書命，諸子虔誠扶道顛。,佛燈點亮華光現，一線生機救末年。,--",[公告] 即日起開啟推文顯示IP。
"是這樣的啦,我朋友他很愛乾淨,房間也是幾乎封死,如果是說螞蟻那種很小的從縫隙中的縫隙進來就算了,但有時候還是會有蜘蛛這種大型的進來,有沒有房間裡的蟲是怎麼進來的卦,-----,Sent,from,JPTT,on,my,Asus,ASUS_X00QD.,--",[問卦] 有沒有房間裡的蟲是怎麼進來的
"今天用,steam,玩了一下試玩版,這遊戲簡直了,不像無雙系列一般無腦割草,飛來飛去還要注意角度和時機,爽快度不輸飛天遁地的武俠遊戲,感覺遊戲很豐富,還要利用地形,一個十來分鐘的試玩版我就玩了一個下午,巨人是不是根本,ω,force,最強作品啊？,--",[問卦] 巨人是不是 ω force 最棒的作品？
"如題,去年1124前,大家都在說台灣價值,好像沒台灣價值,你就應該游太平洋去別國,最好死在太平洋,可是今年沒甚麼人在說台灣價值了,是不是過氣了阿,小弟從2012可以第一次投票,就開始儲蓄台灣價值,到了去年1124後,發現台灣價值沒人再提,就不儲了,但已經當台幣戰士的錢,還有辦法拿回來嗎?,--",[問卦] 台灣價值是不是過氣了?
"小弟多次到日本旅遊,多跑關西跟關東,廉航東北仙台開通後,兩次到仙台散步,發現正的比例超高,走在街上發現十個妹有七個是正的,不像大阪東京十個裡只有一個,臉部輪廓都比較明顯,眼睛也普遍比較大顆,有沒有東北日本正妹基因比較凸顯的八卦,--",[問卦] 日本東北正妹
"餓死抬頭,現在社會如此繁忙,常常讓人忘記事情,但小魯我就觀察到,其實原因非常簡單,就是忘記",[問卦] 忘記事情的原因竟然是…網驚：我不信！
"台灣人愛台灣,說本土台灣話的本土台灣人,嘻嘻,哈哈,哦,有什麼好說的,台灣人那麼有智慧,愛台灣,丟五丟呀,再嘻嘻,--",[問卦] 未表明反送中視為同意送中
"喜愛跑跑,熱愛跑跑,沒有跑跑就吃不下飯,甚至就會活不下去的跑跑癡跑跑狂,各位大家好,打ㄍㄟ賀,胎嘎後,小妹剛剛看到youtube有跑跑要辦世界比賽了,在韓國震撼彈！！正當大家以為這遊戲要倒的時候,竟然要辦世界比賽！！,廣告開頭展元,的聲音真是讓人懷念,那...有沒有跑跑要辦比賽的八卦？,這篇有xhibaoger我發錢,--",[問卦] 慟！跑跑要辦世界賽！？
"以下真人真事，中醫是流傳千年古老的醫學，真的有效。,尤其老中醫把脈，清楚明白肥宅昨晚尻幾槍，這個月手淫、射精幾次一目瞭然。,特別是人體有些秘穴，女中醫特別喜愛用，針灸扎下去立刻軟屌變性無能，,給肥宅幾年時間不射精調養身體，之後再掛原醫師門診，拿解藥與再針灸解穴。,請問萬一幫肥宅老二針灸的女中醫離職了，肥宅一輩子性無能該怎麼辦?,我已經報名中國醫藥大學中醫系，有志幫肥宅調精。,有沒有女中醫的秘穴的八卦?,--",[問卦] 女中醫的秘穴?
"不要鬧,勿鬧,真心勿鬧,我很好奇金城武知道被肥宅們冒充在想什麼,有新聞或報導嗎,還是低調到沒有這部分的新聞,--",[問卦] 認真問 金城武知道被冒充在想什麼
"餓死抬頭,小魯每天讀書啊,晚上都直接忘記,我相信八卦肥宅,也是一樣情況啦,但我最近發現啊,只要能",[問卦] 讀完一天忘記7成內容…試試「閱讀新法」
"本魯一個朋友只要隨便聊天,就會聊到賺多少多少,然後扯他朋友在哪間公司賺多少之類的,讓人不知該怎麼回他@@,這種用意是要我稱讚說,哇你也認識太多厲害的人了吧,還是想要我怎麼回覆,有卦嗎,--",[問卦] 有沒有我朋友薪水多少的八卦？
"肥宅去找算命師，算命師幫肥宅一算,算出肥宅是一輩子不可能有女森喜歡的,所以也就是肥宅一輩子不可能結婚,不過算命師他算錯了，沒算到二次元,因為本肥宅在11年前就跟水銀燈結婚了,每天都會抱著水銀燈老婆睡覺,然後對水銀燈說過的話>>>其他女森總和,雖然那些三次元的女森都對不起肥宅,但肥宅有二次元就夠了，大家說對不對,有沒有算命師說肥宅不可能結婚的八卦？,--",[問卦] 算命師說肥宅不可能結婚的八卦？
"本肥有一個朋友最近不幸過世,本肥最近老是睡不好,一直夢到到他,這一次夢到他,他要我一定要去,媽珍齊買肉鬆,問他去別間不行嗎,他搖頭說一定要這間的,可是本肥根本沒聽過,媽珍齊,這間店,他們的肉鬆真的比較好吃嗎,有沒有媽珍齊這間店的肉鬆的八卦?,--",[問卦] 朋友要我去媽珍齊這間店買肉鬆的八卦
"完全搞不懂,台灣現在要擔任社工員,必須是專科以上社工科系畢業,若非社工科系,要另外修滿指定的15科45學分才行,而且還要實習滿400小時,問題來了,各大學的社工學分班一學分約2500元,45學分共約112,500元,這還不算實習要繳的費用,如果社工員薪水高還能理解,問題是社工員不但錢少而且事多,那為何有些人佛心到這程度,會專程花11萬去取得社工員資格然後被機構壓榨？,怎想都覺得不可思議啊,有沒有八卦？,--",[問卦] 為什麼有些人這麼佛心？
"以前有段時間很低潮,那時候都有固定在寫日記的八卦,後來工作忙了,回家只想耍廢休息,日記都沒在寫了,剛才在整理時發現以前的日記,無聊看了看,感觸頗深,有無鄉民還在寫日記的八卦嗎？,--",[問卦] 有人還在寫日記的八卦嗎？
"稍早在敲敲門認識了一個女生,我們相互加了Line,聊了一下後他說要去洗澡就再也沒有回來,已經過了7個小時了，我很擔心,我該怎麼辦,--",[問卦] 急！剛認識的女生說要洗澡還沒回來
"越看越羨慕華農兄弟生活,三餐餵餵竹鼠,其他時間上山砍竹子,去野外採野果,烤烤山產,家裡庭外還有一堆可愛狗狗陪你,而且又沒很累又有錢,有沒有華農兄弟根本勝利組八卦?????,人也帥帥的@@,講話又幽默,--",[問卦] 沒人覺得華農兄弟很帥嗎?
"身為本島最優秀的外省薇閣學生,不僅才貌兼具，家世優良,長大後，大多申請國內醫科，或是申請國外知名大學,成為優秀的銀行家、企業家、醫師科學家等等,申請大學的學習歷程檔案，更是充滿了豐富的經歷,台語8+9有哪些方面勝過薇閣學生呢？,--",[問卦] 台語8+9有哪些方面勝過薇閣學生？
"欸欸怎麼辦啦,自從我5月底幫家裡的人下載啥小報稅軟體,軟體叫我重開機後,電腦變超級卡要怎麼辦,後來我把它刪掉還是一樣卡啦,我有用檢測軟體發現,我的硬碟警告C5,可是下載軟體前都很順欸,狀況就是開什麼東西都很慢,然後LoL打個字也超慢,每打一個字要等很久的那種,我的配備很爛啦提供配備應該會被說整台換,有沒有電腦變很頓的八卦？,-----,Sent,from,JPTT,on,my,HTC_M10f.,--",[問卦] 電腦突然變很頓要怎麼辦？
"今天學長來參加我的畢業典禮,在學校的最後一天有他牽著我離開,真的是無比開心的事情,晚上我去同學家玩耍會晚點回家,剛剛要哄學長睡覺時,他竟然說要跟我絕代雙交",[問卦] 學長說要跟我絕代雙交？
"就是啊就是啊>_<,那個很多人都說亡國感什麼的好重什麼的(；一_一),想說有沒有什麼辦法幫幫大家這樣,(・∀・),然後啊然後啊('・ω・'),我找到了這個(>ω<),摳基啦/",[問卦] 亡國感好重怎麼辦？
"各位肥宅安安,肥肥我剛在看殭屍片,覺得好恐怖喔,看的一半的時候,突然想到,為捨摸殭屍都要用跳的,而不是用走的,用跳的不是比較浪費力氣ㄇ,八卦?,=,=",[問卦] 殭屍為捨摸都用跳的?
"如題,我想上大夜班都沒辦法,全聯為何不24小時營業？,店成本就在那裡,東西也進貨了,人力也不用多少啊,比起超商,全聯提供的東西更多吧,全聯為何不24小時營業呢,--",[問卦] 全聯為何不24小時營業？
"是這樣的啦,大家都知道,武藤遊戲最會玩遊戲了,不管是丟骰子,撲克牌,怪獸卡都肉都很猛,可是為什麼沒看過他打麻將呢,畢竟麻將在日本也是一門精深的技術,感覺武藤遊戲打麻將也會很精彩的感覺捏,請問有沒有武藤遊戲打麻將會怎樣的八卦？,--,Sent,from,my,iPhone,6s,Plus",[問卦] 武藤遊戲打麻將會怎樣？
"如果今天有個小一生,在小一這個短短一年時間內,已經把小學六年課程都上完了,題目也都做完了，想要跳級當國中生,學校可以擋他不給他跳級嗎,這樣當個跳級烙跑小學生,對小孩的身心靈到底是好還是有害呢,-----,Sent,from,JPTT,on,my,Xiaomi,Redmi,5,Plus.,--",[問卦] 學校可以卡人不給跳級嗎
"無盡無盡的夜晚,不打烊的小酒館,沒有人急著回家,沒有人想各自回家,無盡無盡的夜晚,愛在舌尖上打轉,測試他對我有,多瘋狂,原來只是精神上,對愛渴望,唸書唸不下去ㄌ,有沒有晚上很無聊該幹嘛的八卦,--",[問卦]  無盡的夜晚
"如題，九點多時突然莫名其妙的發燒，溫度計又壞了，不知道自己幾度，很掙扎要不要去,看急診，因為現在就頸部以上熱熱的其他正常，酸痛感也減輕了，雖然感覺不嚴重還有力,氣在這發廢文，但熱熱的根本睡不著(精神超好)，但家裡沒人還要自己去醫院,請問廣大的鄉民，我該不該去看個急診(瘋狂喝水中又睡不著)",[問卦] 發燒了該看醫生嗎
"最近看到一堆人,為了台灣好,紛紛跳出來反對中國一國兩制,我就覺得,為什麼要反對中國的一國兩制？,日本有反對中國的一國兩制嗎,美國有反對中國的一國兩制嗎,英國有反對中國的一國兩制嗎,沒有,因為他們知道他們是跟中國是不一樣的國家,如今台灣人先反對中國的一國兩制,然而反對的前提,就是台灣人認為中國跟台灣同屬一國啊,明明不同國,為何要去反對他國內政問題...,--",[問卦] 為什麼台灣人要反中國的一國兩制？
"如題我包恩,用社群收款功能,還可以開虛擬帳號收款咧,之前用郵局收款的時候,一筆一筆對帳,累得要死,現在用HomeBank,App收款,累只累在打金額以及看有誰沒匯款而已,有沒有八卦",[問卦] 中信網銀是最方便的嗎
"日此題啦,遊☆戲☆王字中間各有一顆星星,☆☆☆,英文標題也有☆☆,到底遊戲跟☆☆有甚麼關係?,標題一定要有☆☆?,難道是貝卡斯給的☆☆¿¿¿,卦?,-----,Sent,from,JPTT,on,my,Samsung,SM-N950F.,--",[問卦] 遊☆戲☆王 Yu☆Gi☆Oh!
"小妹窩4西門觀察家啦,最近還有在出沒的npc,只會吹茉莉花的口琴爺爺,阿彌陀佛姐,愛心筆屁孩,在超商門口要發票的人,還有什麼經典npc嗎,--",[問卦] 西門町npc到底有哪些
"台灣捐器官的人數ㄧ直都很少，,捐器官應該沒什麼缺點吧？,在死之前還能做一件很有意義的事。,我還怕我要死的時候沒有能捐的器官勒。,有沒有不想捐器官的原因啊？,--",[問卦] 捐器官有哪裡不好嗎？
"沒記錯2018之前高雄處處慢慢租售,店面出租是高雄難以解決的問題,如今這個問題北上來到天龍國,東區處處租售,連最不可能進駐的娃娃機產業都被房東抓來開了,是高雄漸漸變好,台北又老又窮,跟外移出去的五萬人有關係嗎,有沒有八卦？,--",[問卦] 昨日高雄 今日東區？
"上個世紀的時候,便利商店好像沒有,那台可以買票的機器,那個年代的演唱會是怎麼售票的,--",[問卦] 上個世紀演唱會門票怎麼買的
"如題,今天才知道,原來牙齒是一種器官,那這樣如果我去拔牙,不就是活摘器官嗎?,聽起來好可怕喔,有沒有牙齒是一種器官的八卦?,--",[問卦] 原來拔牙是活摘器官?
"什麼氣炸鍋,烤箱,烤麵包機,製麵包機,果汁機,鬆餅機,章魚燒機,剛買來時用得很開心,尤其是女森特別愛買,但過沒多久就了無新意開始變懶,放到長灰塵又很佔空間,到頭來還是微波爐跟電鍋跟電磁爐最方便,一堆料理家電484根本在騙錢的?,--",[問卦] 料理家電484根本一堆累贅物?
"1.媒體來源:,自由時報,2.記者署名〔記者鄭琪芳／台北報導〕,3.完整新聞標題:,台商回流熱絡,台灣金聯加速釋出萬有紙廠4萬坪土地,4.完整新聞內文:,2019-06-15,17:17,台灣金聯代理董事長郭文進（圖右）（資料照）",[新聞] 台商回流熱絡 台灣金聯加速釋出萬有紙廠4
"她好像在中國混的很好,天天上微博熱搜,年輕女孩都想變成歐陽娜娜,有沒有娜鼻成為中國女神的八卦,--",[問卦] 歐陽娜娜在中國是不是很紅
"1.媒體來源：聯合,2.記者署名劉肇育,3.完整新聞標題：再擲84公尺30佳績,鄭兆村鑽石賽連兩站登頒獎台,4.完整新聞內文：,日前已在國際田總鑽石聯賽上海站拿下東京奧運參賽門票的亞洲男子標槍紀錄保持人鄭兆,村，今天在挪威奧斯陸繼續參賽，最終他再以84.30公尺的佳績拿下銅牌，連續兩站賽事,都站上頒獎台，且目前鑽石聯賽積分也高居第二名。,鄭兆村上月在鑽石聯賽上海站擲出87公尺12的佳績摘銀，不僅成為我國史上首位在鑽石聯,賽奪牌的選手，還一舉跨越東京奧運參賽標準85公尺，成為國內首位取得東奧門票的田徑,選手，隨後他又在台灣國際田徑公開賽中擲出86.10公尺的佳績，展現絕佳狀態。,而上周他則飛往瑞典進行移訓，並在今天參加在奧斯陸舉行的鑽石聯賽賽事，同場競技的,包括三名生涯最佳成績都在90公尺以上的德國好手，其中包括上一站擊敗鄭兆村摘金的霍,夫曼（Andreas,Hofmann）。,最終鄭兆村擲出84公尺30拿下銅牌，僅次於德國費特爾（Johannes,Vetter）85.27公尺、,愛沙尼亞吉爾特（Magnus,Kirt）84.74公尺，而霍夫曼則是以82.92公尺排名第四名。,鄭兆村在今天的6次試擲中，除了第5擲失敗外，其他5擲成績都在80公尺以上，表現相當,穩定，而連兩站鑽石聯賽都站上頒獎台，也讓鄭兆村目前在鑽石聯賽的積分追上霍夫曼，,不過由於霍夫曼上海站摘金，鄭兆村暫居第2名，接下來他還將在芬蘭與瑞典出賽，並於7,月12日在摩洛哥繼續挑戰鑽石聯賽賽事。,5.完整新聞連結：",[新聞] 再擲84公尺30佳績 鄭兆村鑽石賽連兩站登
"最近去一個好朋友家裡玩。,這個好朋友大學畢業後就去台東教書，,成功鎮。,從台東市開車要40分鐘的地方。,他在那邊教書，買了一塊地。,蓋鋼構屋住，總花費不到我台北房子的一半。,透天，還有庭院。,正面對的就是無敵海景。,這種生活，應該滿爽的吧?,--",[問卦] 住台東爽嗎?
